publisher,journal,doi
MDPI,Molecules,https://doi.org/10.3390/molecules22071031
MDPI,Nanomaterials,https://doi.org/10.3390/nano9101397
MDPI,Polymers,https://doi.org/10.3390/polym17101330
MDPI,Polymers,https://doi.org/10.3390/polym13193274
MDPI,Polymers,https://doi.org/10.3390/polym13234233
MDPI,Polymers,https://doi.org/10.3390/polym15010090
MDPI,Polymers,https://doi.org/10.3390/polym17243323
MDPI,Polymers,https://doi.org/10.3390/polym16101442
MDPI,Polymers,https://doi.org/10.3390/polym10030271
MDPI,Sensors,https://doi.org/10.3390/s24196197
MDPI,Water,https://doi.org/10.3390/w15111972
RSC,Chemical Communications,https://doi.org/10.1039/c8cc07872f
RSC,Molecular Omics,https://doi.org/10.1039/d4mo00192c
RSC,RSC Advances,https://doi.org/10.1039/d1ra08786j
RSC,RSC Advances,https://doi.org/10.1039/d3ra08725e
RSC,RSC Advances,https://doi.org/10.1039/c4ra05300a
Springer Nature,Advanced Composites and Hybrid Materials,https://doi.org/10.1007/s42114-025-01422-x
Springer Nature,Biomass Conversion and Biorefinery,https://doi.org/10.1007/s13399-022-02805-6
Springer Nature,Cellulose,https://doi.org/10.1007/s10570-024-05968-9
Springer Nature,Cellulose,https://doi.org/10.1007/s10570-026-07077-1
Springer Nature,Chemical Papers,https://doi.org/10.1007/s11696-020-01210-5
Springer Nature,Chemical Papers,https://doi.org/10.1007/s11696-022-02644-9
Springer Nature,Emergent Materials,https://doi.org/10.1007/s42247-022-00433-4
Springer Nature,Environmental Chemistry Letters,https://doi.org/10.1007/s10311-017-0671-x
Springer Nature,International Journal of Plastics Technology,https://doi.org/10.1007/s12588-012-9040-6
Springer Nature,Journal of Materials Science,https://doi.org/10.1007/s10853-026-12465-w
Springer Nature,Journal of Materials Science,https://doi.org/10.1007/s10853-016-9775-0
Springer Nature,Journal of Polymer Research,https://doi.org/10.1007/s10965-025-04669-6
Springer Nature,Journal of Polymer Research,https://doi.org/10.1007/s10965-025-04720-6
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-018-1302-8
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-020-01806-8
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-025-03605-5
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-021-02322-z
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-019-01593-x
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-022-02543-w
Springer Nature,Journal of Polymers and the Environment,https://doi.org/10.1007/s10924-023-03103-6
Springer Nature,Journal of soil science and plant nutrition,https://doi.org/10.1007/s42729-025-02542-5
Springer Nature,Nature Communications,https://doi.org/10.1038/s41467-025-56988-3
Springer Nature,Plant and Soil,https://doi.org/10.1007/s11104-025-07454-y
Springer Nature,Polymer Bulletin,https://doi.org/10.1007/s00289-026-06398-2
Springer Nature,Polymer Bulletin,https://doi.org/10.1007/s00289-023-04901-7
Springer Nature,Polymer Bulletin,https://doi.org/10.1007/s00289-026-06529-9
Springer Nature,Polymer Bulletin,https://doi.org/10.1007/s00289-023-05102-y
Springer Nature,Polymer Bulletin,https://doi.org/10.1007/s00289-016-1899-5
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-023-41946-0
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-025-30594-1
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-025-05920-2
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-017-16253-0
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-025-99666-6
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-026-44948-w
Springer Nature,Scientific Reports,https://doi.org/10.1038/s41598-023-38445-7
Springer Nature,World Journal of Microbiology and Biotechnology,https://doi.org/10.1007/s11274-026-04815-2
Taylor & Francis,Communications in Soil Science and Plant Analysis,https://doi.org/10.1080/00103624.2022.2028818
Taylor & Francis,Communications in Soil Science and Plant Analysis,https://doi.org/10.1080/00103624.2024.2378973
Taylor & Francis,Environmental Technology,https://doi.org/10.1080/09593330.2013.831461
Taylor & Francis,Natural Product Research,https://doi.org/10.1080/14786419.2024.2324463
Wiley,Advanced Functional Materials,https://doi.org/10.1002/adfm.202510234
Wiley,Advanced Functional Materials,https://doi.org/10.1002/adfm.202506427
Wiley,Advances in Polymer Technology,https://doi.org/10.1002/adv.21690
Wiley,Agronomy Journal,https://doi.org/10.2134/agronj1980.00021962007200060033x
Wiley,Agronomy Journal,https://doi.org/10.1002/agj2.21400
Wiley,ChemistrySelect,https://doi.org/10.1002/slct.202507212
Wiley,ChemistrySelect,https://doi.org/10.1002/slct.202505903
Wiley,ChemistrySelect,https://doi.org/10.1002/slct.202403421
Wiley,CLEAN - Soil Air Water,https://doi.org/10.1002/clen.200900128
Wiley,CLEAN - Soil Air Water,https://doi.org/10.1002/clen.200900245
Wiley,Journal of Agronomy and Crop Science,https://doi.org/10.1111/jac.70207
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.22487
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.52998
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.50084
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.34528
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.32123
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.53311
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.41060
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.20571
Wiley,Journal of Applied Polymer Science,https://doi.org/10.1002/app.25916
Wiley,Legume Science,https://doi.org/10.1002/leg3.70083
Wiley,Macromolecular Symposia,https://doi.org/10.1002/masy.200950534
Wiley,Modern Agriculture,https://doi.org/10.1002/moda.70025
Wiley,Pest Management Science,https://doi.org/10.1002/ps.70537
Wiley,Polymer Composites,https://doi.org/10.1002/pc.22583
Wiley,Polymers for Advanced Technologies,https://doi.org/10.1002/pat.70046
Wiley,Restoration Ecology,https://doi.org/10.1111/rec.70365
